0,REP.A022_YAPC_24H:E21
1,REP.A022_YAPC_24H:E20
2,REP.A022_HA1E_24H:E22
3,REP.A022_PC3_24H:E22
4,REP.A022_PC3_24H:E21
5,REP.A022_HA1E_24H:E24
6,REP.A022_PC3_24H:E24
7,REP.A022_YAPC_24H:E19
8,REP.A022_PC3_24H:E19
9,REP.A022_PC3_24H:E20
10,REP.A022_HA1E_24H:E20
11,REP.A022_PC3_24H:E23
12,REP.A022_YAPC_24H:E24
13,REP.A022_HA1E_24H:E19
14,REP.A022_HA1E_24H:E23
15,REP.A022_HA1E_24H:E21
16,REP.A022_YAPC_24H:E23
17,REP.A022_HELA_24H:E21
18,REP.A022_HT29_24H:E24
19,REP.A022_HELA_24H:E23
20,REP.A022_HELA_24H:E22
21,REP.A022_HELA_24H:E20
22,REP.A022_HELA_24H:E19
23,REP.A022_HT29_24H:E23
24,REP.A022_HELA_24H:E24
25,REP.A022_HT29_24H:E22
26,REP.A022_HT29_24H:E21
27,REP.A022_HT29_24H:E20
28,REP.A022_HT29_24H:E19
29,REP.A022_MCF7_24H:E20
30,REP.A022_A375_24H:E19
31,REP.A022_MCF7_24H:E19
32,REP.A022_MCF7_24H:E21
33,REP.A022_A375_24H:E24
34,REP.A022_A375_24H:E23
35,REP.A022_A375_24H:E20
36,REP.A022_A375_24H:E22
37,REP.A022_YAPC_24H:E22
38,REP.A022_A375_24H:E21
39,REP.A022_MCF7_24H:E22
40,REP.A022_MCF7_24H:E24
41,REP.A022_MCF7_24H:E23
42,REP.A006_PC3_24H:M19
43,REP.A006_HA1E_24H:M21
44,REP.A006_HA1E_24H:M22
45,REP.A006_HA1E_24H:M23
46,REP.A006_HT29_24H:M23
47,REP.A006_HT29_24H:M20
48,REP.A006_PC3_24H:M21
49,REP.A006_HT29_24H:M22
50,REP.A006_PC3_24H:M22
51,REP.A006_PC3_24H:M23
52,REP.A006_MCF7_24H:M19
53,REP.A006_MCF7_24H:M20
54,REP.A006_PC3_24H:M24
55,REP.A006_MCF7_24H:M21
56,REP.A006_PC3_24H:M20
57,REP.A006_MCF7_24H:M22
58,REP.A006_MCF7_24H:M24
59,REP.A006_HT29_24H:M24
60,REP.A006_HT29_24H:M19
61,REP.A006_HT29_24H:M21
62,REP.A006_HA1E_24H:M24
63,REP.A006_A375_24H:M23
64,REP.A006_YAPC_24H:M19
65,REP.A006_HELA_24H:M21
66,REP.A006_HELA_24H:M22
67,REP.A006_HA1E_24H:M19
68,REP.A006_HA1E_24H:M20
69,REP.A006_HELA_24H:M23
70,REP.A006_HELA_24H:M24
71,REP.A006_A375_24H:M19
72,REP.A006_A375_24H:M20
73,REP.A006_A375_24H:M21
74,REP.A006_A375_24H:M22
75,REP.A006_HELA_24H:M20
76,REP.A006_A375_24H:M24
77,REP.A006_HELA_24H:M19
78,REP.A006_YAPC_24H:M24
79,REP.A006_YAPC_24H:M23
80,REP.A006_YAPC_24H:M22
81,REP.A006_YAPC_24H:M21
82,REP.A006_MCF7_24H:M23
83,REP.A006_YAPC_24H:M20
84,REP.A026_HT29_24H:N21
85,REP.A026_HT29_24H:N20
86,REP.A026_HT29_24H:N19
87,REP.A026_HA1E_24H:N21
88,REP.A026_HT29_24H:N24
89,REP.A026_HA1E_24H:N23
90,REP.A026_HT29_24H:N23
91,REP.A026_HA1E_24H:N22
92,REP.A026_HT29_24H:N22
93,REP.A026_YAPC_24H:N21
94,REP.A026_HELA_24H:N23
95,REP.A026_MCF7_24H:N20
96,REP.A026_MCF7_24H:N21
97,REP.A026_HELA_24H:N24
98,REP.A026_HA1E_24H:N24
99,REP.A026_MCF7_24H:N23
100,REP.A026_MCF7_24H:N24
101,REP.A026_A375_24H:N19
102,REP.A026_PC3_24H:N24
103,REP.A026_PC3_24H:N22
104,REP.A026_PC3_24H:N21
105,REP.A026_PC3_24H:N20
106,REP.A026_PC3_24H:N19
107,REP.A026_HA1E_24H:N19
108,REP.A026_HA1E_24H:N20
109,REP.A026_PC3_24H:N23
110,REP.A026_YAPC_24H:N19
111,REP.A026_MCF7_24H:N22
112,REP.A026_A375_24H:N23
113,REP.A026_HELA_24H:N20
114,REP.A026_HELA_24H:N19
115,REP.A026_A375_24H:N24
116,REP.A026_YAPC_24H:N20
117,REP.A026_A375_24H:N22
118,REP.A026_A375_24H:N21
119,REP.A026_HELA_24H:N21
120,REP.A026_MCF7_24H:N19
121,REP.A026_HELA_24H:N22
122,REP.A026_A375_24H:N20
123,REP.A026_YAPC_24H:N23
124,REP.A026_YAPC_24H:N24
125,REP.A026_YAPC_24H:N22
126,REP.A017_PC3_24H:C09
127,REP.A017_PC3_24H:C08
128,REP.A017_PC3_24H:C10
129,REP.A017_A375_24H:C07
130,REP.A017_A375_24H:C09
131,REP.A017_A375_24H:C08
132,REP.A017_PC3_24H:C07
133,REP.A017_HELA_24H:C10
134,REP.A017_A375_24H:C10
135,REP.A017_PC3_24H:C12
136,REP.A017_PC3_24H:C11
137,REP.A017_YAPC_24H:C07
138,REP.A017_YAPC_24H:C08
139,REP.A017_YAPC_24H:C09
140,REP.A017_YAPC_24H:C10
141,REP.A017_YAPC_24H:C11
142,REP.A017_HA1E_24H:C12
143,REP.A017_MCF7_24H:C07
144,REP.A017_MCF7_24H:C08
145,REP.A017_MCF7_24H:C09
146,REP.A017_MCF7_24H:C10
147,REP.A017_MCF7_24H:C11
148,REP.A017_MCF7_24H:C12
149,REP.A017_HELA_24H:C12
150,REP.A017_HELA_24H:C09
151,REP.A017_YAPC_24H:C12
152,REP.A017_A375_24H:C11
153,REP.A017_HELA_24H:C11
154,REP.A017_A375_24H:C12
155,REP.A017_HT29_24H:C08
156,REP.A017_HT29_24H:C12
157,REP.A017_HT29_24H:C11
158,REP.A017_HT29_24H:C10
159,REP.A017_HELA_24H:C08
160,REP.A017_HT29_24H:C09
161,REP.A017_HA1E_24H:C11
162,REP.A017_HELA_24H:C07
163,REP.A017_HA1E_24H:C09
164,REP.A017_HA1E_24H:C07
165,REP.A017_HA1E_24H:C10
166,REP.A017_HT29_24H:C07
167,REP.A017_HA1E_24H:C08
168,REP.A003_HT29_24H:E21
169,REP.A003_PC3_24H:E21
170,REP.A003_PC3_24H:E20
171,REP.A003_PC3_24H:E19
172,REP.A003_HELA_24H:E22
173,REP.A003_HELA_24H:E23
174,REP.A003_HELA_24H:E24
175,REP.A003_MCF7_24H:E20
176,REP.A003_MCF7_24H:E19
177,REP.A003_HT29_24H:E20
178,REP.A003_YAPC_24H:E20
179,REP.A003_MCF7_24H:E24
180,REP.A003_YAPC_24H:E21
181,REP.A003_YAPC_24H:E23
182,REP.A003_HA1E_24H:E19
183,REP.A003_MCF7_24H:E23
184,REP.A003_HA1E_24H:E20
185,REP.A003_HA1E_24H:E21
186,REP.A003_HA1E_24H:E22
187,REP.A003_HA1E_24H:E23
188,REP.A003_HA1E_24H:E24
189,REP.A003_A375_24H:E22
190,REP.A003_A375_24H:E23
191,REP.A003_A375_24H:E24
192,REP.A003_HELA_24H:E19
193,REP.A003_HELA_24H:E20
194,REP.A003_HELA_24H:E21
195,REP.A003_YAPC_24H:E24
196,REP.A003_PC3_24H:E23
197,REP.A003_PC3_24H:E24
198,REP.A003_YAPC_24H:E22
199,REP.A003_A375_24H:E21
200,REP.A003_PC3_24H:E22
201,REP.A003_YAPC_24H:E19
202,REP.A003_A375_24H:E19
203,REP.A003_MCF7_24H:E22
204,REP.A003_HT29_24H:E22
205,REP.A003_HT29_24H:E24
206,REP.A003_HT29_24H:E19
207,REP.A003_MCF7_24H:E21
208,REP.A003_HT29_24H:E23
209,REP.A003_A375_24H:E20
210,REP.A003_HT29_24H:E21
211,REP.A003_PC3_24H:E21
212,REP.A003_PC3_24H:E20
213,REP.A003_PC3_24H:E19
214,REP.A003_HELA_24H:E22
215,REP.A003_HELA_24H:E23
216,REP.A003_HELA_24H:E24
217,REP.A003_MCF7_24H:E20
218,REP.A003_MCF7_24H:E19
219,REP.A003_HT29_24H:E20
220,REP.A003_YAPC_24H:E20
221,REP.A003_MCF7_24H:E24
222,REP.A003_YAPC_24H:E21
223,REP.A003_YAPC_24H:E23
224,REP.A003_HA1E_24H:E19
225,REP.A003_MCF7_24H:E23
226,REP.A003_HA1E_24H:E20
227,REP.A003_HA1E_24H:E21
228,REP.A003_HA1E_24H:E22
229,REP.A003_HA1E_24H:E23
230,REP.A003_HA1E_24H:E24
231,REP.A003_A375_24H:E22
232,REP.A003_A375_24H:E23
233,REP.A003_A375_24H:E24
234,REP.A003_HELA_24H:E19
235,REP.A003_HELA_24H:E20
236,REP.A003_HELA_24H:E21
237,REP.A003_YAPC_24H:E24
238,REP.A003_PC3_24H:E23
239,REP.A003_PC3_24H:E24
240,REP.A003_YAPC_24H:E22
241,REP.A003_A375_24H:E21
242,REP.A003_PC3_24H:E22
243,REP.A003_YAPC_24H:E19
244,REP.A003_A375_24H:E19
245,REP.A003_MCF7_24H:E22
246,REP.A003_HT29_24H:E22
247,REP.A003_HT29_24H:E24
248,REP.A003_HT29_24H:E19
249,REP.A003_MCF7_24H:E21
250,REP.A003_HT29_24H:E23
251,REP.A003_A375_24H:E20
252,REP.A028_YAPC_24H:L24
253,REP.A028_A375_24H:L23
254,REP.A028_A375_24H:L24
