smiles,name,id,inchi_key
CCC(C(CC)C1CCC(O)CC1)C1CCC(O)CC1,hexestrol,BRD-A01078468,PBBGSZCBWVPOOL-UHFFFAOYSA-N
OC[C@H]1O[C@H](C(O)[C@H]1O)N1CCCNC1=O,zebularine,BRD-A01145011,RPQZTTQVRYEKCR-JJFBUQMESA-N
CCCN(C\C=C\I)C1CCC2CCC(O)CC2C1,7-hydroxy-pipat,BRD-A01295252,RTMIJLQPWFKAFE-FPYGCLRLSA-N
CC(O)[C@H](O)C1=NC2C(NC1)NC(N)[NH]C2=O,"7,8-dihydro-l-biopterin",BRD-A01317026,FEMXZDUTFRTWPE-YRAGUDHZSA-N
OCC1CC(CCC1O)C(O)CNCCCCCCOCCCCC1CCCCC1,salmeterol,BRD-A01320529,GIIZNNXWQWCKIB-UHFFFAOYSA-N
C[C@@H]1CC2C3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,flumetasone,BRD-A01346607,WXURHACBFYSXBI-DRBBXQFKSA-N
CC(=O)O[C@@]1(CCC2C3C=C(CL)C4=CC(=O)CC[C@]4(C)C3CC[C@@]21C)C(=O)C,chlormadinone-acetate,BRD-A01593789,QMBJSIBWORFWQT-GDMUWPLKSA-N
CCCCN1CCCCC1C(=O)NC1C(C)CCCC1C,bupivacaine,BRD-A01636364,LEBVLXFERQHONN-UHFFFAOYSA-N
CC(=O)OCC(=O)[C@@]1(O)CCC2C3CCC4=CC(=O)C=CC4(C)C3[C@@H](O)C[C@]12C,prednisolone-acetate,BRD-A01643550,LRJOMUJRLNCICJ-AUGMLKDDSA-N
COC1CCCCC1N1CCN(CC(O)COC2CCCC3CCCCC23)CC1,naftopidil,BRD-A01787639,HRRBJVNMSRJFHQ-UHFFFAOYSA-N
CN(CCO)CC(O)CN1CNC2N(C)C(=O)N(C)C(=O)C12,xanthinol,BRD-A01826957,DSFGXPJYDCSWTA-UHFFFAOYSA-N
COC1CCC(CC1)C2C(C(=O)O)C3CCCCC3C(=O)N2CC4CCC(CL)CC4,brd-a01960364,BRD-A01960364,WJQMZXHQQRBUBD-UHFFFAOYSA-N
CCC(=O)NC(C1CCCO1)C1CC(BR)C2CCCNC2C1O,brd-a01973626,BRD-A01973626,FSKZSCFSPFWKPI-UHFFFAOYSA-N
COC1CCC(CC1OC2CCOC2)C3=NN4C(NNC4SC3)C5CCCCC5C(F)(F)F,brd-a01999384,BRD-A01999384,CLVUZWSRQXKIEX-UHFFFAOYSA-N
CCOC(=O)C1=C(C)NC(C)=C(C1C1CCCC(C1)[N+]([O-])=O)C(=O)OC,nitrendipine,BRD-A02006392,PVHUJELLJLJGLN-UHFFFAOYSA-N
CC(=C)C1CC2C(O1)CCC(C(=O)O)C2O,tubaic-acid,BRD-A02176148,CMXGHLJKXLIMAQ-UHFFFAOYSA-N
C[C@H]1CC2C3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,betamethasone,BRD-A02180903,UREBDLICKHMUKA-REKGUKDCSA-N
CSCCC(N)C(=O)NC(CC(C)C)C(=O)NC(CC1CCCCC1)C(=O)O,met-leu-phe,BRD-A02189320,CHDYFPCQVUOJEB-UHFFFAOYSA-N
CC1CC(C)(C)N2C(=O)C3(NC4CCCCC4S3)C5CCCC1C25,emf-sumo1-9,BRD-A02198599,BFQJGJYTDOYXDQ-UHFFFAOYSA-N
CC(O)C1CC2N(C)C3C(=O)N(CC4CCCCC4F)NCC3C2S1,brd-a02241946,BRD-A02241946,JSCKNKLLUFQKEX-UHFFFAOYSA-N
CC1C2NC[C@@H](C)C[C@H]2O[C@@]31CC[C@H]4[C@@H]5CC=C6C[C@@H](O)CC[C@]6(C)[C@H]5CC4=C3C,cyclopamine,BRD-A02333338,QASFUMOKHFSJGL-ACLNMQFHSA-N
C[C@]12CCC3C(CCC4CC(O)CCC34)C1CC[C@@]2(O)C#C,ethinyl-estradiol,BRD-A02367930,BFPYWIDHMRZLRN-OQPPHWFISA-N
CC(NC1NC(NC2CCCCC12)N3CCCC3)C4CCCCC4,importazole,BRD-A02481876,HKGJEZIGDHFJFL-UHFFFAOYSA-N
COC1CC(CC(OC)C1O)C1C2C(COC2=O)C(OC2OC3COC(C)OC3C(O)C2O)C2C1=CC1=C2OCO1,etoposide,BRD-A02579693,DOXHGVQIEQIIIV-UHFFFAOYSA-N
CCC1(CCCCN(C)C1)C1CCCC(O)C1,meptazinol,BRD-A02710418,JLICHNCFTLFZJN-UHFFFAOYSA-N
CC(=O)O[C@@H]1CC2C(C)(C)C(=O)CC[C@]2(C)C3CC[C@@]4(C)[C@@H](OC(=O)C=C4[C@]13C)C5CCOC5,dihydrodeoxygedunin,BRD-A02713983,QDBAUJQKYJXHPB-OMRKLITNSA-N
COC1CCC(CC1)C#CC1CCC2N(C)[C@@H](CO)[C@@H]3CCN([C@@H]3C2C1)S(=O)(=O)C1=NC(C)C=N1,brd-a02726762,BRD-A02726762,JIACUDNUQKRFPQ-JDHTZGSBSA-N
CNC(C)C(=O)NC(C(C)C)C(=O)NC(C)C(=O)NNC1CCCCC1,brd-a02747686,BRD-A02747686,MDQJPRMMNJMTSA-UHFFFAOYSA-N
CC(C)NCC(O)COC1CCC(CCOCC2CC2)CC1,betaxolol,BRD-A02759312,NWIUTZDMDHAVTP-UHFFFAOYSA-N
COC1CCC(CC1OC)C(=O)C2CCCN(CCC3CCCCC3)C2,arg-tc-41,BRD-A02809788,OSQKAQCOFUNQAK-UHFFFAOYSA-N
OCCOC1CCCCC1C1N2C(C(C(=O)N3CCCCCCC3)C11C(=O)NC3CCCCC13)C(=O)OC(C2C1CCCCC1)C1CCCCC1,brd-a02836799,BRD-A02836799,LSRJNHYGURTKLY-UHFFFAOYSA-N
CC(OC1C(CL)CCCC1CL)C1=NCCN1,lofexidine,BRD-A02990301,KSMAGQUYOIHWFS-UHFFFAOYSA-N
CC1ONC(C1C(=O)NC1C2SC(C)(C)C(N2C1=O)C(O)=O)-C1CCCCC1,micropenin,BRD-A03044413,UWYHMGVUTGAWSP-UHFFFAOYSA-N
COC1CC2[NH]NNC2CC1C(=O)NCC1CCCN1CC=C,alizapride,BRD-A03061970,KSEYRUGYKHXGFW-UHFFFAOYSA-N
CN1CCCCC1C(=O)NC1C(C)CCCC1C,mepivacaine,BRD-A03216249,INWLQCZOYSRPNW-UHFFFAOYSA-N
CC(C)C(NC(=O)N(C)CC1CSC(N1)C(C)C)C(=O)NC(CC(O)C(CC1CCCCC1)NC(=O)OCC1CNCS1)CC1CCCCC1,ritonavir,BRD-A03323675,NCDNCNXCDXHOMX-UHFFFAOYSA-N
OC(CNCCNC(=O)NC1CCCCC1)COC1CCCCC1C#N,ici-89406,BRD-A03359064,HTLWRKRZKFAAAH-UHFFFAOYSA-N
CC1=C(CC(=O)O)C2CC(F)CCC2C1=CC3CCC(CC3)S(=O)C,sulindac,BRD-A03427350,MLKXDPUZXIRXEP-UHFFFAOYSA-N
COC1CCCC(C1)S(=O)(=O)NC2CCN(C2)C#N,brd-a03436432,BRD-A03436432,OYPCPJBAOPUYOB-UHFFFAOYSA-N
CC(C)C1CCC(CC1)C2C3CN(C)CC=C3C(C#N)(C#N)C(=C2C#N)N,st-014366,BRD-A03520402,RZZPFYJDTQFYDP-UHFFFAOYSA-N
COCCC1CCC(OCC(O)CNC(C)C)CC1,metoprolol,BRD-A03623303,IUBSYMUCCVWXPE-UHFFFAOYSA-N
O=C1[C@H](CC2CCCCC2)CCN2CC(COCC3CCCN13)NN2,brd-a03684405,BRD-A03684405,WZJQEFWGBHOUNW-ATNAJCNCSA-N
COC1CCCCC1C2N(C(=O)C3CCCN23)C4CCC(CL)CC4,brd-a03772856,BRD-A03772856,YSPMFQJSWDVJME-UHFFFAOYSA-N
CCCCCCC(C)(C)C1CCC(C2CC(O)CCC2CCCO)C(O)C1,cp-55940,BRD-A03816571,YNZFFALZMRAPHQ-UHFFFAOYSA-N
NC1=C(C#N)C(C2CCC(BR)CC2)C3C(N1)C4CCCCC4OC3=O,st-014147,BRD-A03926027,KMBPMDRMEHVHTJ-UHFFFAOYSA-N
[O-][N+](=O)C1CCC2NC(=O)C3(NNC4CCCCC4O3)C2C1,brd-a03946276,BRD-A03946276,VNYMEPQAFKNDRQ-UHFFFAOYSA-N
CCCCS(=N)(=O)CCC(N)C(=O)O,l-buthionine-sulfoximine,BRD-A04020513,KJQFBVYMGADDTQ-UHFFFAOYSA-N
CCCCCCCCNC(=O)C(CC1CCC(OCC2CCNCC2)CC1)NC(=O)C3CCC(CN)CC3,yo-2,BRD-A04026261,ZBCXDUNUUKRQSV-UHFFFAOYSA-N
COC1CCC2CCC(=O)OC2C1CC(O)C(C)(C)OC,brd-a04172077,BRD-A04172077,VRCXJKSBSNVDFC-UHFFFAOYSA-N
