smiles,name,id,inchi_key,atc
C[C@]12CCC3C(CCC4=C3CCC(=O)C4)C1CC[C@@]2(O)C#C,noretynodrel,BRD-A00758722,ICTXHFFSOAJUMG-OQPPHWFISA-N,
COC1CC(CCC1O)C(O)C(C)N,BRD-A00763758,BRD-A00763758,MASIPYZIHWNUPA-UHFFFAOYSA-N,
CN1C2NCN(CC(O)CO)C2C(=O)N(C)C1=O,dyphylline,BRD-A00827783,KSCFJBIXMNOVSH-UHFFFAOYSA-N,
CC(C)NCC(O)COC1CCCCC1CC=C,alprenolol,BRD-A00993607,PAZJSJFMUHDSTF-UHFFFAOYSA-N,C07AA01
CCC(C(CC)C1CCC(O)CC1)C1CCC(O)CC1,hexestrol,BRD-A01078468,PBBGSZCBWVPOOL-UHFFFAOYSA-N,
OC[C@H]1O[C@H](C(O)[C@H]1O)N1CCCNC1=O,zebularine,BRD-A01145011,RPQZTTQVRYEKCR-JJFBUQMESA-N,
CCCN(C\C=C\I)C1CCC2CCC(O)CC2C1,7-hydroxy-PIPAT,BRD-A01295252,RTMIJLQPWFKAFE-FPYGCLRLSA-N,
CC(O)[C@H](O)C1=NC2C(NC1)NC(N)[NH]C2=O,"7,8-dihydro-L-biopterin",BRD-A01317026,FEMXZDUTFRTWPE-YRAGUDHZSA-N,
OCC1CC(CCC1O)C(O)CNCCCCCCOCCCCC1CCCCC1,salmeterol,BRD-A01320529,GIIZNNXWQWCKIB-UHFFFAOYSA-N,R03AC12
C[C@@H]1CC2C3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,flumetasone,BRD-A01346607,WXURHACBFYSXBI-DRBBXQFKSA-N,D07XB01
C[C@@H]1CC2C3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,flumetasone,BRD-A01346607,WXURHACBFYSXBI-DRBBXQFKSA-N,D07AB03
CC(=O)O[C@@]1(CCC2C3C=C(CL)C4=CC(=O)CC[C@]4(C)C3CC[C@@]21C)C(=O)C,chlormadinone-acetate,BRD-A01593789,QMBJSIBWORFWQT-GDMUWPLKSA-N,
CCCCN1CCCCC1C(=O)NC1C(C)CCCC1C,bupivacaine,BRD-A01636364,LEBVLXFERQHONN-UHFFFAOYSA-N,N01BB01
CC(=O)OCC(=O)[C@@]1(O)CCC2C3CCC4=CC(=O)C=CC4(C)C3[C@@H](O)C[C@]12C,prednisolone-acetate,BRD-A01643550,LRJOMUJRLNCICJ-AUGMLKDDSA-N,
COC1CCCCC1N1CCN(CC(O)COC2CCCC3CCCCC23)CC1,naftopidil,BRD-A01787639,HRRBJVNMSRJFHQ-UHFFFAOYSA-N,
CN(CCO)CC(O)CN1CNC2N(C)C(=O)N(C)C(=O)C12,xanthinol,BRD-A01826957,DSFGXPJYDCSWTA-UHFFFAOYSA-N,
COC1CCC(CC1)C2C(C(=O)O)C3CCCCC3C(=O)N2CC4CCC(CL)CC4,BRD-A01960364,BRD-A01960364,WJQMZXHQQRBUBD-UHFFFAOYSA-N,
CCC(=O)NC(C1CCCO1)C1CC(BR)C2CCCNC2C1O,BRD-A01973626,BRD-A01973626,FSKZSCFSPFWKPI-UHFFFAOYSA-N,
COC1CCC(CC1OC2CCOC2)C3=NN4C(NNC4SC3)C5CCCCC5C(F)(F)F,BRD-A01999384,BRD-A01999384,CLVUZWSRQXKIEX-UHFFFAOYSA-N,
CCOC(=O)C1=C(C)NC(C)=C(C1C1CCCC(C1)[N+]([O-])=O)C(=O)OC,nitrendipine,BRD-A02006392,PVHUJELLJLJGLN-UHFFFAOYSA-N,C08CA08
CC(=C)C1CC2C(O1)CCC(C(=O)O)C2O,tubaic-acid,BRD-A02176148,CMXGHLJKXLIMAQ-UHFFFAOYSA-N,
C[C@H]1CC2C3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,betamethasone,BRD-A02180903,UREBDLICKHMUKA-REKGUKDCSA-N,D07AC01
C[C@H]1CC2C3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,betamethasone,BRD-A02180903,UREBDLICKHMUKA-REKGUKDCSA-N,S01CB04
C[C@H]1CC2C3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,betamethasone,BRD-A02180903,UREBDLICKHMUKA-REKGUKDCSA-N,S02BA07
C[C@H]1CC2C3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,betamethasone,BRD-A02180903,UREBDLICKHMUKA-REKGUKDCSA-N,D07XC01
C[C@H]1CC2C3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,betamethasone,BRD-A02180903,UREBDLICKHMUKA-REKGUKDCSA-N,H02AB01
C[C@H]1CC2C3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,betamethasone,BRD-A02180903,UREBDLICKHMUKA-REKGUKDCSA-N,R01AD06
C[C@H]1CC2C3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,betamethasone,BRD-A02180903,UREBDLICKHMUKA-REKGUKDCSA-N,S01BA06
C[C@H]1CC2C3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,betamethasone,BRD-A02180903,UREBDLICKHMUKA-REKGUKDCSA-N,S03BA03
C[C@H]1CC2C3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,betamethasone,BRD-A02180903,UREBDLICKHMUKA-REKGUKDCSA-N,A07EA04
C[C@H]1CC2C3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,betamethasone,BRD-A02180903,UREBDLICKHMUKA-REKGUKDCSA-N,C05AA05
C[C@H]1CC2C3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,betamethasone,BRD-A02180903,UREBDLICKHMUKA-REKGUKDCSA-N,R03BA04
CSCCC(N)C(=O)NC(CC(C)C)C(=O)NC(CC1CCCCC1)C(=O)O,met-leu-phe,BRD-A02189320,CHDYFPCQVUOJEB-UHFFFAOYSA-N,
CC1CC(C)(C)N2C(=O)C3(NC4CCCCC4S3)C5CCCC1C25,EMF-sumo1-9,BRD-A02198599,BFQJGJYTDOYXDQ-UHFFFAOYSA-N,
CC(O)C1CC2N(C)C3C(=O)N(CC4CCCCC4F)NCC3C2S1,BRD-A02241946,BRD-A02241946,JSCKNKLLUFQKEX-UHFFFAOYSA-N,
CC1C2NC[C@@H](C)C[C@H]2O[C@@]31CC[C@H]4[C@@H]5CC=C6C[C@@H](O)CC[C@]6(C)[C@H]5CC4=C3C,cyclopamine,BRD-A02333338,QASFUMOKHFSJGL-ACLNMQFHSA-N,
C[C@]12CCC3C(CCC4CC(O)CCC34)C1CC[C@@]2(O)C#C,ethinyl-estradiol,BRD-A02367930,BFPYWIDHMRZLRN-OQPPHWFISA-N,
